,mp,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,mp_max,mp_max,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,team,total,home,index_opp,mp_opp,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,mp_max_opp,mp_max_opp,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,team_opp,total_opp,home_opp,season,date,won
10,265.0,265.0,43.0,94.0,0.457,9.0,29.0,0.31,20.0,24.0,0.833,12.0,37.0,49.0,23.0,7.0,5.0,12.0,17.0,115.0,,0.55,0.505,0.309,0.255,24.5,74.0,49.5,53.5,6.7,8.3,10.3,100.0,110.8,107.9,,,11.0,24.0,0.647,3.0,8.0,0.5,6.0,7.0,1.0,5.0,16.0,21.0,8.0,2.0,2.0,4.0,4.0,30.0,20.0,0.747,0.706,1.0,0.545,16.5,44.6,29.5,32.2,5.8,6.7,66.7,35.8,155.0,118.0,DAL,115,0,1,265.0,265.0,41.0,100.0,0.41,15.0,40.0,0.375,15.0,17.0,0.882,13.0,37.0,50.0,24.0,6.0,1.0,15.0,23.0,112.0,,0.521,0.485,0.4,0.17,26.0,75.5,50.5,58.5,5.8,1.5,12.2,100.0,107.9,110.8,,,10.0,24.0,1.0,4.0,11.0,0.5,4.0,4.0,1.0,5.0,6.0,11.0,10.0,2.0,1.0,4.0,6.0,25.0,16.0,0.94,1.0,1.0,0.75,16.8,37.3,21.6,45.6,4.9,4.5,50.0,30.3,146.0,117.0,POR,112,1,2016,2015-12-01,True
11,265.0,265.0,41.0,100.0,0.41,15.0,40.0,0.375,15.0,17.0,0.882,13.0,37.0,50.0,24.0,6.0,1.0,15.0,23.0,112.0,,0.521,0.485,0.4,0.17,26.0,75.5,50.5,58.5,5.8,1.5,12.2,100.0,107.9,110.8,,,10.0,24.0,1.0,4.0,11.0,0.5,4.0,4.0,1.0,5.0,6.0,11.0,10.0,2.0,1.0,4.0,6.0,25.0,16.0,0.94,1.0,1.0,0.75,16.8,37.3,21.6,45.6,4.9,4.5,50.0,30.3,146.0,117.0,POR,112,1,0,265.0,265.0,43.0,94.0,0.457,9.0,29.0,0.31,20.0,24.0,0.833,12.0,37.0,49.0,23.0,7.0,5.0,12.0,17.0,115.0,,0.55,0.505,0.309,0.255,24.5,74.0,49.5,53.5,6.7,8.3,10.3,100.0,110.8,107.9,,,11.0,24.0,0.647,3.0,8.0,0.5,6.0,7.0,1.0,5.0,16.0,21.0,8.0,2.0,2.0,4.0,4.0,30.0,20.0,0.747,0.706,1.0,0.545,16.5,44.6,29.5,32.2,5.8,6.7,66.7,35.8,155.0,118.0,DAL,115,0,2016,2015-12-01,False
12,240.0,240.0,36.0,79.0,0.456,6.0,25.0,0.24,18.0,24.0,0.75,8.0,42.0,50.0,12.0,10.0,5.0,12.0,18.0,96.0,,0.536,0.494,0.316,0.304,21.1,76.4,53.8,33.3,10.8,7.9,11.8,100.0,103.8,93.0,,,9.0,17.0,1.0,2.0,7.0,1.0,11.0,12.0,1.0,5.0,9.0,9.0,5.0,3.0,2.0,3.0,5.0,31.0,22.0,1.0,1.0,0.857,0.706,23.6,39.7,23.5,26.4,6.7,5.7,29.1,30.8,200.0,101.0,TOR,96,0,1,240.0,240.0,33.0,90.0,0.367,8.0,27.0,0.296,12.0,16.0,0.75,13.0,30.0,43.0,22.0,8.0,7.0,12.0,20.0,86.0,,0.443,0.411,0.3,0.178,23.6,78.9,46.2,66.7,8.7,13.0,11.0,100.0,93.0,103.8,,,6.0,16.0,0.5,3.0,5.0,0.6,4.0,6.0,1.0,5.0,7.0,9.0,10.0,2.0,2.0,3.0,5.0,14.0,1.0,0.636,0.611,1.0,0.667,12.8,34.2,18.6,67.7,3.6,5.6,33.3,35.7,124.0,113.0,ATL,86,1,2016,2015-12-02,True
13,240.0,240.0,33.0,90.0,0.367,8.0,27.0,0.296,12.0,16.0,0.75,13.0,30.0,43.0,22.0,8.0,7.0,12.0,20.0,86.0,,0.443,0.411,0.3,0.178,23.6,78.9,46.2,66.7,8.7,13.0,11.0,100.0,93.0,103.8,,,6.0,16.0,0.5,3.0,5.0,0.6,4.0,6.0,1.0,5.0,7.0,9.0,10.0,2.0,2.0,3.0,5.0,14.0,1.0,0.636,0.611,1.0,0.667,12.8,34.2,18.6,67.7,3.6,5.6,33.3,35.7,124.0,113.0,ATL,86,1,0,240.0,240.0,36.0,79.0,0.456,6.0,25.0,0.24,18.0,24.0,0.75,8.0,42.0,50.0,12.0,10.0,5.0,12.0,18.0,96.0,,0.536,0.494,0.316,0.304,21.1,76.4,53.8,33.3,10.8,7.9,11.8,100.0,103.8,93.0,,,9.0,17.0,1.0,2.0,7.0,1.0,11.0,12.0,1.0,5.0,9.0,9.0,5.0,3.0,2.0,3.0,5.0,31.0,22.0,1.0,1.0,0.857,0.706,23.6,39.7,23.5,26.4,6.7,5.7,29.1,30.8,200.0,101.0,TOR,96,0,2016,2015-12-02,False
14,240.0,240.0,36.0,93.0,0.387,5.0,15.0,0.333,13.0,22.0,0.591,13.0,36.0,49.0,26.0,8.0,8.0,7.0,22.0,90.0,,0.438,0.414,0.161,0.237,21.7,70.6,44.1,72.2,8.3,11.1,6.4,100.0,93.4,102.7,,,7.0,15.0,0.7,1.0,3.0,1.0,4.0,4.0,1.0,5.0,7.0,9.0,7.0,3.0,2.0,4.0,4.0,16.0,6.0,0.643,0.7,0.6,0.4,14.0,27.9,16.6,33.8,9.5,6.6,26.9,30.3,122.0,109.0,DEN,90,0,1,240.0,240.0,36.0,89.0,0.404,6.0,17.0,0.353,21.0,27.0,0.778,15.0,47.0,62.0,22.0,3.0,10.0,14.0,17.0,99.0,,0.491,0.438,0.191,0.303,29.4,78.3,55.9,61.1,3.1,12.8,12.2,100.0,102.7,93.4,,,12.0,19.0,0.632,2.0,4.0,0.667,8.0,8.0,1.0,5.0,17.0,19.0,9.0,1.0,4.0,3.0,3.0,26.0,18.0,0.75,0.75,1.0,1.0,20.2,37.4,27.9,44.1,10.7,7.0,33.3,27.3,155.0,101.0,CHI,99,1,2016,2015-12-02,False
15,240.0,240.0,36.0,89.0,0.404,6.0,17.0,0.353,21.0,27.0,0.778,15.0,47.0,62.0,22.0,3.0,10.0,14.0,17.0,99.0,,0.491,0.438,0.191,0.303,29.4,78.3,55.9,61.1,3.1,12.8,12.2,100.0,102.7,93.4,,,12.0,19.0,0.632,2.0,4.0,0.667,8.0,8.0,1.0,5.0,17.0,19.0,9.0,1.0,4.0,3.0,3.0,26.0,18.0,0.75,0.75,1.0,1.0,20.2,37.4,27.9,44.1,10.7,7.0,33.3,27.3,155.0,101.0,CHI,99,1,0,240.0,240.0,36.0,93.0,0.387,5.0,15.0,0.333,13.0,22.0,0.591,13.0,36.0,49.0,26.0,8.0,8.0,7.0,22.0,90.0,,0.438,0.414,0.161,0.237,21.7,70.6,44.1,72.2,8.3,11.1,6.4,100.0,93.4,102.7,,,7.0,15.0,0.7,1.0,3.0,1.0,4.0,4.0,1.0,5.0,7.0,9.0,7.0,3.0,2.0,4.0,4.0,16.0,6.0,0.643,0.7,0.6,0.4,14.0,27.9,16.6,33.8,9.5,6.6,26.9,30.3,122.0,109.0,DEN,90,0,2016,2015-12-02,True
16,240.0,240.0,46.0,88.0,0.523,16.0,34.0,0.471,8.0,11.0,0.727,11.0,42.0,53.0,31.0,2.0,9.0,18.0,23.0,116.0,,0.625,0.614,0.386,0.125,28.2,76.4,56.4,67.4,2.0,14.3,16.2,100.0,117.9,100.6,,,14.0,18.0,1.0,8.0,11.0,0.727,4.0,4.0,1.0,3.0,11.0,11.0,9.0,1.0,3.0,5.0,3.0,40.0,19.0,1.012,1.0,0.75,0.429,22.8,58.7,34.3,38.6,2.6,12.8,50.0,38.5,218.0,109.0,GSW,116,0,1,240.0,240.0,35.0,94.0,0.372,9.0,31.0,0.29,20.0,30.0,0.667,13.0,28.0,41.0,19.0,10.0,7.0,8.0,13.0,99.0,,0.462,0.42,0.33,0.319,23.6,71.8,43.6,54.3,10.2,13.0,6.9,100.0,100.6,117.9,,,6.0,16.0,1.0,3.0,6.0,1.0,4.0,5.0,1.0,3.0,6.0,8.0,5.0,3.0,2.0,2.0,4.0,17.0,9.0,0.84,1.0,1.0,2.0,8.7,37.2,15.4,40.0,9.1,18.7,21.0,31.1,226.0,126.0,CHO,99,1,2016,2015-12-02,True
17,240.0,240.0,35.0,94.0,0.372,9.0,31.0,0.29,20.0,30.0,0.667,13.0,28.0,41.0,19.0,10.0,7.0,8.0,13.0,99.0,,0.462,0.42,0.33,0.319,23.6,71.8,43.6,54.3,10.2,13.0,6.9,100.0,100.6,117.9,,,6.0,16.0,1.0,3.0,6.0,1.0,4.0,5.0,1.0,3.0,6.0,8.0,5.0,3.0,2.0,2.0,4.0,17.0,9.0,0.84,1.0,1.0,2.0,8.7,37.2,15.4,40.0,9.1,18.7,21.0,31.1,226.0,126.0,CHO,99,1,0,240.0,240.0,46.0,88.0,0.523,16.0,34.0,0.471,8.0,11.0,0.727,11.0,42.0,53.0,31.0,2.0,9.0,18.0,23.0,116.0,,0.625,0.614,0.386,0.125,28.2,76.4,56.4,67.4,2.0,14.3,16.2,100.0,117.9,100.6,,,14.0,18.0,1.0,8.0,11.0,0.727,4.0,4.0,1.0,3.0,11.0,11.0,9.0,1.0,3.0,5.0,3.0,40.0,19.0,1.012,1.0,0.75,0.429,22.8,58.7,34.3,38.6,2.6,12.8,50.0,38.5,218.0,109.0,GSW,116,0,2016,2015-12-02,False
18,265.0,265.0,47.0,97.0,0.485,14.0,33.0,0.424,14.0,15.0,0.933,10.0,26.0,36.0,28.0,7.0,3.0,15.0,33.0,122.0,,0.589,0.557,0.34,0.155,21.3,66.7,41.9,59.6,6.5,5.0,12.6,100.0,114.1,118.8,,,8.0,21.0,0.833,4.0,11.0,1.0,5.0,5.0,1.0,4.0,5.0,7.0,9.0,2.0,1.0,6.0,5.0,22.0,17.0,1.098,1.083,0.667,0.833,30.7,73.8,33.5,33.2,2.6,6.0,50.8,29.9,221.0,125.0,PHO,122,0,1,265.0,265.0,44.0,87.0,0.506,12.0,27.0,0.444,27.0,44.0,0.614,13.0,37.0,50.0,24.0,10.0,1.0,18.0,20.0,127.0,,0.597,0.575,0.31,0.506,33.3,78.7,58.1,54.5,9.4,1.6,14.5,100.0,118.8,114.1,,,12.0,20.0,1.0,3.0,7.0,1.0,7.0,17.0,1.0,4.0,11.0,14.0,16.0,3.0,1.0,4.0,4.0,34.0,27.0,1.25,1.25,0.5,1.063,50.6,29.6,28.7,75.6,3.3,2.0,40.0,27.8,250.0,121.0,DET,127,1,2016,2015-12-02,False
19,265.0,265.0,44.0,87.0,0.506,12.0,27.0,0.444,27.0,44.0,0.614,13.0,37.0,50.0,24.0,10.0,1.0,18.0,20.0,127.0,,0.597,0.575,0.31,0.506,33.3,78.7,58.1,54.5,9.4,1.6,14.5,100.0,118.8,114.1,,,12.0,20.0,1.0,3.0,7.0,1.0,7.0,17.0,1.0,4.0,11.0,14.0,16.0,3.0,1.0,4.0,4.0,34.0,27.0,1.25,1.25,0.5,1.063,50.6,29.6,28.7,75.6,3.3,2.0,40.0,27.8,250.0,121.0,DET,127,1,0,265.0,265.0,47.0,97.0,0.485,14.0,33.0,0.424,14.0,15.0,0.933,10.0,26.0,36.0,28.0,7.0,3.0,15.0,33.0,122.0,,0.589,0.557,0.34,0.155,21.3,66.7,41.9,59.6,6.5,5.0,12.6,100.0,114.1,118.8,,,8.0,21.0,0.833,4.0,11.0,1.0,5.0,5.0,1.0,4.0,5.0,7.0,9.0,2.0,1.0,6.0,5.0,22.0,17.0,1.098,1.083,0.667,0.833,30.7,73.8,33.5,33.2,2.6,6.0,50.8,29.9,221.0,125.0,PHO,122,0,2016,2015-12-02,True
